y,fzone,punt,kick,gofor
1,1,0.4645,0,0.5355
1,2,0.9975,0,0.0025
1,3,1,0,0
1,4,1,0,0
2,1,0.341,0,0.659
2,2,0.9975,0,0.0025
2,3,1,0,0
2,4,1,0,0
3,1,0.685,0,0.315
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.2655,0,0.7345
4,2,0.996,0,0.004
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.4625,0,0.5375
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0.0005,0.0335,0.966
6,3,0.761,0.071,0.168
6,4,0.9285,0.0715,0
7,1,0,0.722,0.278
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.723,0.277
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9885,0.0115
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.551,0.449
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
