y,fzone,punt,kick,gofor
1,1,0.001,0,0.999
1,2,0.3495,0,0.6505
1,3,0.988,0,0.012
1,4,1,0,0
2,1,0,0,1
2,2,0.02,0,0.98
2,3,0.7735,0,0.2265
2,4,0.9975,0,0.0025
3,1,0.001,0,0.999
3,2,0.3385,0,0.6615
3,3,0.997,0,0.003
3,4,1,0,0
4,1,0.007,0,0.993
4,2,0.6215,0,0.3785
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0.01,0,0.99
5,2,0.7165,0,0.2835
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0445,0.9555
6,2,0.1565,0.086,0.7575
6,3,0.8845,0.1145,0.001
6,4,0.8855,0.1145,0
7,1,0,1,0
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,1,0
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,1,0
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
